"last_name, first_name","2016","2017","+/-","2018","+/-","2019","+/-","2020","+/-","2021","+/-","2022","+/-","2023","+/-","2024","+/-"
"Soto, Juan",,,,0.372,,0.409,0.037,0.475,0.066,0.429,-0.046,0.401,-0.028,0.408,0.007,0.462,0.054
"Taveras, Leody",,,,,,,,0.305,,0.246,-0.059,0.267,0.021,0.319,0.052,0.295,-0.024
"Chisholm Jr., Jazz",,,,,,,,0.269,,0.307,0.038,0.345,0.038,0.307,-0.038,0.316,0.009
"Giménez, Andrés",,,,,,,,0.303,,0.268,-0.035,0.326,0.058,0.297,-0.029,0.296,-0.001
"Lowe, Josh",,,,,,,,,,0.443,,0.272,-0.171,0.341,0.069,0.295,-0.046
"Morel, Christopher",,,,,,,,,,,,0.321,,0.34,0.019,0.316,-0.024
"García, Adolis",,,,,,,,0.121,,0.299,0.178,0.322,0.023,0.366,0.044,0.306,-0.06
"Gurriel Jr., Lourdes",,,,0.321,,0.34,0.019,0.347,0.007,0.339,-0.008,0.321,-0.018,0.324,0.003,0.319,-0.005
"Rooker, Brent",,,,,,,,0.395,,0.341,-0.054,0.264,-0.077,0.343,0.079,0.38,0.037
"Arozarena, Randy",,,,,,0.312,,0.369,0.057,0.304,-0.065,0.301,-0.003,0.351,0.05,0.324,-0.027
"Steer, Spencer",,,,,,,,,,,,0.281,,0.333,0.052,0.315,-0.018
"Reynolds, Bryan",,,,,,0.359,,0.314,-0.045,0.386,0.072,0.329,-0.057,0.36,0.031,0.35,-0.01
"Turang, Brice",,,,,,,,,,,,,,0.274,,0.297,0.023
"Rutschman, Adley",,,,,,,,,,,,0.342,,0.373,0.031,0.315,-0.058
"Rojas, Josh",,,,,,0.32,,0.272,-0.048,0.295,0.023,0.305,0.01,0.278,-0.027,0.293,0.015
"Melendez, MJ",,,,,,,,,,,,0.332,,0.325,-0.007,0.317,-0.008
"Marsh, Brandon",,,,,,,,,,0.324,,0.287,-0.037,0.322,0.035,0.324,0.002
"Langeliers, Shea",,,,,,,,,,,,0.259,,0.297,0.038,0.328,0.031
"Smith, Will",,,,,,0.322,,0.407,0.085,0.364,-0.043,0.352,-0.012,0.352,0,0.334,-0.018
"Gorman, Nolan",,,,,,,,,,,,0.341,,0.354,0.013,0.307,-0.047
"Burger, Jake",,,,,,,,,,0.351,,0.318,-0.033,0.359,0.041,0.338,-0.021
"Raley, Luke",,,,,,,,,,0.302,,0.286,-0.016,0.327,0.041,0.316,-0.011
"Alvarez, Yordan",,,,,,0.408,,0.356,-0.052,0.386,0.03,0.46,0.074,0.435,-0.025,0.411,-0.024
"Paredes, Isaac",,,,,,,,0.247,,0.282,0.035,0.297,0.015,0.315,0.018,0.304,-0.011
"Friedl, TJ",,,,,,,,,,0.301,,0.283,-0.018,0.289,0.006,0.292,0.003
"García Jr., Luis",,,,,,,,0.296,,0.279,-0.017,0.305,0.026,0.308,0.003,0.331,0.023
"Harris II, Michael",,,,,,,,,,,,0.335,,0.357,0.022,0.344,-0.013
"Bailey, Patrick",,,,,,,,,,,,,,0.313,,0.319,0.006
"Kelenic, Jarred",,,,,,,,,,0.314,,0.271,-0.043,0.333,0.062,0.308,-0.025
"Kirk, Alejandro",,,,,,,,0.344,,0.373,0.029,0.351,-0.022,0.32,-0.031,0.324,0.004
"Moreno, Gabriel",,,,,,,,,,,,0.299,,0.314,0.015,0.325,0.011
"Garcia, Maikel",,,,,,,,,,,,0.242,,0.319,0.077,0.3,-0.019
"Perdomo, Geraldo",,,,,,,,,,0.283,,0.269,-0.014,0.275,0.006,0.281,0.006
"Diaz, Yainer",,,,,,,,,,,,0.295,,0.357,0.062,0.339,-0.018
"Robert Jr., Luis",,,,,,,,0.326,,0.382,0.056,0.327,-0.055,0.347,0.02,0.277,-0.07
"Kim, Ha-Seong",,,,,,,,,,0.265,,0.309,0.044,0.313,0.004,0.313,0
"Suzuki, Seiya",,,,,,,,,,,,0.326,,0.357,0.031,0.346,-0.011
"Burleson, Alec",,,,,,,,,,,,0.325,,0.337,0.012,0.329,-0.008
"Meyers, Jake",,,,,,,,,,0.321,,0.251,-0.07,0.283,0.032,0.304,0.021
"Rodríguez, Julio",,,,,,,,,,,,0.337,,0.345,0.008,0.344,-0.001
"Witt Jr., Bobby",,,,,,,,,,,,0.313,,0.369,0.056,0.407,0.038
"Tovar, Ezequiel",,,,,,,,,,,,0.3,,0.291,-0.009,0.289,-0.002
"Torkelson, Spencer",,,,,,,,,,,,0.302,,0.349,0.047,0.283,-0.066
"Kwan, Steven",,,,,,,,,,,,0.312,,0.317,0.005,0.333,0.016
"Duran, Jarren",,,,,,,,,,0.25,,0.286,0.036,0.323,0.037,0.342,0.019
